EIAID	Utility Name	State	eiaSTATE	ProgramID	Program Name	Wind	Solar	Bio	Hydro	Geo	Other	Cost (c/kwh) 	Cost Range (c/kwh)	Credit (Y/N)	Credit (c/kwh)	Blocks Available	Block Size (kWh)	Block Cost ($)	Percentage Options	Percentage Range	Contract Lengths	Monthly Minimum	Termination Fee (Y/N)	Termination Cost (Description)	Green-e	RECs Retired?	Revenue Neutral?	Retail	Waitlist (Y/N)	Rating (TBD for now)	Link to Sign-up Form	Sign-Up URL	Step 1	Step 2	Step 3	Step 4	Step 5	Link to FAQ's	FAQ URL	sign in required?	account name required?	account number?	Address?	Enrollment choices?	must be printed/mailed?	Email	Contact URL	Phone	Date Updated	Notes	Production
13780	Northern States Power Co	WI	13780WI	13780WI1	Renewable Connect 	0.8	0.2				0	4.34		Yes	3.39	Any	100	4.34	100		Monthly;5-year	No   	Yes	Total Cost of Remaining Contract	Yes	Yes	Yes				Enroll Now 	https://myaccount.xcelenergy.com/oam/programOpportunity.req?page=renewableconnect	sign in  																10-5-19	replaced windsource	1
13780	Northern States Power Co	MI	13780MI	13780MI1	Windsource	1					0	1.19				Any	100	1.19	100		Monthly	12-month	No		Yes	Yes					Enroll Now	https://www.xcelenergy.com/programs_and_rebates/residential_programs_and_rebates/renewable_energy_options_residential/windsource_for_residences/residential_windsource_sign_up	make sure your state is chosen in top left hand corner	choose how much you want															10-5-19	2 different prices per block on different parts of website	1
13781	Northern States Power Co - Minnesota	MN	13781MN	13781MN1	Windsource	1					0	3.53		Yes	2.73	Any	100	3.53	100		Monthly	12-month	No		Yes	Yes	Yes				Enroll Now	https://www.xcelenergy.com/programs_and_rebates/residential_programs_and_rebates/renewable_energy_options_residential/windsource_for_residences/residential_windsource_sign_up	make sure your state is chosen in top left hand corner	choose how much you want															10-5-19		1
13781	Northern States Power Co - Minnesota	MN	13781MN	13781MN2	Renewable Connect	0.67	0.33				0	3.6		Yes	2.73	Any	100	3.6	100		Monthly;5-year;10 year	No   	Yes	1 cent per kwh for prior 12 month usage	Yes	Yes	Yes				Waitlist Enroll	https://xcelenergy.force.com/RenewableConnect/RC_EnrollmentPage?AccType=Residential	fill out waitlist form																10-5-19	Prices vary with the contractual agreements	1
14328	Pacific Gas & Electric Co.	CA	14328CA	14328CA1	Solar Choice		1				0	0.66		Included		No			50;100		Monthly	No	No	(Can only change percentage once every 12 months)	Yes	Yes					Enroll Now	https://m.pge.com/?WT.mc_id=Vanity_myrate#login						FAQ	https://www.pge.com/en_US/residential/solar-and-vehicles/options/solar/solar-choice/faq.page									877-743-4112	11-29-19	phone number is specifically for solar inquiries	1
19876	Virginia Electric & Power Co	VA	19876VA	19876VA1	Dominion Energy Green Power	0.56	0.1	0.34			0	1.3		No		Any	154		100		Monthly	No	No		Yes	Yes	Yes		No		Enroll Now	https://www.dominionenergy.com/home-and-small-business/renewable-energy-programs/va-green-power/sign-up/greenpower-enrollment								No	Yes	No	Yes	Yes	No	Customer Relation Contact	https://www.dominionenergy.com/contact-us/email-customer-relations-va-nc	866-366-4357	11-28-19	there is an online enrollment form as well	1
7140	Georgia Power Co	GA	7140GA	7140GA1	Simple Solar		1				0			No		No			50;100		Monthly	No	No			Yes					Enroll Now	https://www.georgiapower.com/company/energy-industry/energy-sources/solar-energy/solar/simple-solar/simple-solar-sign-up-form.html	hit submit													G2GPCCSOLAR@SOUTHERNCO.COM		888-660-5890	09/28/2019	georgia power	1
5109	DTE Electric Company	MI	5109MI	5109MI1	MI Green Power	0.5	0.5				0	7.2			3.9	No				17.5-100	Monthly	No	No		Yes						Enroll Now	https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/migreenpower/migp-process																855-613-4445	9-28-19	DTE Energy 	1
14354	PacifiCorp	WA	14354WA	14354WA1	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.pacificpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	OR	14354OR	14354OR2	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.pacificpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	OR	14354OR	14354OR3	Blue Sky Usage	0.8	0.17	0.02		0.01	0	1.05						1.05			Monthly	No	No		Yes	No					Enroll Now	https://csapps.pacificpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	CA	14354CA	14354CA4	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.pacificpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	UT	14354UT	14354UT5	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.rockymountainpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	WY	14354WY	14354WY6	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.rockymountainpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
14354	PacifiCorp	ID	14354ID	14354ID7	Blue Sky Block	0.4	0.6				0	1.95				Any	100	1.95			Monthly	No	No		Yes	No					Enroll Now	https://csapps.rockymountainpower.net/idm/login																888 221 7070	10-18-2019	PacifiCorp	1
